name,height,weight,avg,HR,hand,bmi
Tom Brown,73,170,0,0,Right Handed,22.4
Denny Lemaster,73,182,0.13,4,Right Handed,24
Joe Nolan,71,175,0.263,27,Left Handed,24.4
Denny Doyle,69,175,0.25,16,Left Handed,25.8
Jose Cardenal,70,150,0.275,138,Right Handed,21.5
Mike Ryan,74,205,0.193,28,Right Handed,26.3
Fritz Peterson,72,185,0.159,2,Switch Hitter,25.1
Dick Bertell,72,200,0.25,10,Right Handed,27.1
Rod Kanehl,73,180,0.241,6,Right Handed,23.7
Ozzie Osborn,74,195,0,0,Right Handed,25
John LaRose,73,185,0,0,Left Handed,24.4
Jeff Byrd,75,195,0,0,Right Handed,24.4
Juan Bonilla,69,170,0.256,7,Right Handed,25.1
Frank Tepedino,71,185,0.241,6,Left Handed,25.8
Jerry Kutzler,73,175,0,0,Left Handed,23.1
Rick Wise,73,180,0.195,15,Right Handed,23.7
Darrell Evans,74,200,0.248,414,Left Handed,25.7
Buck Martinez,70,190,0.225,58,Right Handed,27.3
John Wockenfuss,72,190,0.262,86,Right Handed,25.8
Tommy McCraw,72,183,0.246,75,Left Handed,24.8
Jeff Barkley,75,185,0,0,Switch Hitter,23.1
Eric Wilkins,73,190,0,0,Right Handed,25.1
Britt Burns,77,215,0,0,Left Handed,25.5
Lee Lacy,73,175,0.286,91,Right Handed,23.1
Pete Rose,71,192,0.303,160,Switch Hitter,26.8
Danny Walton,72,195,0.223,28,Right Handed,26.4
Bobby Cox,71,180,0.225,9,Right Handed,25.1
Brad Wellman,72,170,0.231,6,Right Handed,23.1
Jeff Newman,74,215,0.224,63,Right Handed,27.6
Pedro Gonzalez,72,176,0.244,8,Right Handed,23.9
Nardi Contreras,74,193,0,0,Switch Hitter,24.8
Tommie Reynolds,74,190,0.226,12,Right Handed,24.4
Gene Clines,69,170,0.277,5,Right Handed,25.1
Jim Hickman,75,192,0.252,159,Right Handed,24
Jack Billingham,76,195,0.111,0,Right Handed,23.7
Jerry Buchek,71,185,0.22,22,Right Handed,25.8
Ivan DeJesus,71,175,0.254,21,Right Handed,24.4
Gary Nolan,74,197,0.138,1,Right Handed,25.3
Gil Patterson,73,185,0,0,Right Handed,24.4
Fred Whitfield,73,190,0.253,108,Left Handed,25.1
Larry Dierker,76,215,0.136,4,Right Handed,26.2
Dave Skaggs,74,200,0.241,3,Right Handed,25.7
Dick Ruthven,75,190,0.183,1,Right Handed,23.7
Jerry Garvin,75,195,0,0,Left Handed,24.4
Steve Eddy,74,185,0,0,Right Handed,23.8
Dave Kingman,78,210,0.236,442,Right Handed,24.3
Eric Soderholm,71,187,0.264,102,Right Handed,26.1
Kevin Mmahat,77,220,0,0,Left Handed,26.1
Ed Brinkman,72,170,0.224,60,Right Handed,23.1
Wayne Garrett,71,175,0.239,61,Left Handed,24.4
Tony Muser,74,180,0.259,7,Left Handed,23.1
Jim Siwy,76,200,0,0,Right Handed,24.3
Bud Anderson,75,210,0,0,Right Handed,26.2
Ted Ford,70,180,0.219,17,Right Handed,25.8
Kevin Stanfield,72,190,0,0,Left Handed,25.8
Jim Lyttle,72,180,0.248,9,Left Handed,24.4
