date,Moderate,Risky,Safe
1-Apr-06,0,3188.19906,0
1-Jul-06,10000,3590.490251,6150
1-Oct-06,0,3496.919679,0
1-Jan-07,0,4346.961419,0
1-Apr-07,0,5151.217423,0
1-Jul-07,8212.5,4333.190383,0
1-Oct-07,1000,3587.123596,0
1-Jan-08,0,3452.800205,0
1-Apr-08,14000,3242.424697,0
1-Jul-08,4000,2478.574502,4800
1-Oct-08,0,2558,0
1-Apr-09,0,2250,0
1-Jul-09,4072.231788,2556.262032,4622.959276
1-Oct-09,4694.436202,3366.961538,5847.514981
1-Jan-10,4488.164474,3497.792148,6084.394683
1-Apr-10,4145.225,3508.683642,4908.34
1-Jul-10,6509.460581,3484.664265,6833.825545
1-Oct-10,8174.033962,3740.95709,8717.161157
1-Jan-11,8090.502475,5064.076142,9056.887324
1-Apr-11,7566.115914,5408.527848,9829.611825
1-Jul-11,7844.20339,5320.106361,9236.521368
1-Oct-11,8140,5437.767704,10064.98431
1-Jan-12,8520.089318,4911.951563,11090.26224
1-Apr-12,8444.605556,5326.137058,11502.6038
1-Jul-12,9308.062069,5437.857035,11882.10541
1-Oct-12,9752.177083,5251.085999,12031.50371
1-Jan-13,11297.97179,5700.459382,12487.0788
1-Apr-13,11961.94954,5756.438991,12845.56178
1-Jul-13,11929.20951,5828.295064,12931.5
1-Oct-13,12481.57361,6739.215869,12718.35899
1-Jan-14,12742.51343,7269.98115,13043.88404
